population,minimum_age,maximum_age,gender,zipcode,geo_id
74,62,64,male,58318,8600000US58318
75,70,74,male,02667,8600000US02667
75,0,4,male,22027,8600000US22027
75,0,4,male,72153,8600000US72153
76,67,69,female,46280,8600000US46280
76,50,54,male,75436,8600000US75436
77,0,4,male,81657,8600000US81657
78,55,59,male,55332,8600000US55332
79,20,20,male,46327,8600000US46327
80,20,20,male,42276,8600000US42276
81,5,9,female,72952,8600000US72952
81,50,54,female,93545,8600000US93545
82,55,59,female,16123,8600000US16123
83,21,21,male,80132,8600000US80132
84,45,49,male,47946,8600000US47946
84,80,84,male,53120,8600000US53120
84,35,39,female,80459,8600000US80459
84,,,female,89428,8600000US89428
86,80,84,male,08889,8600000US08889
86,80,84,male,36853,8600000US36853
87,35,39,male,52625,8600000US52625
88,25,29,female,67661,8600000US67661
88,55,59,female,93651,8600000US93651
88,80,84,male,98087,8600000US98087
90,75,79,male,53210,8600000US53210
92,20,20,female,55806,8600000US55806
92,40,44,female,59474,8600000US59474
95,65,66,female,14522,8600000US14522
95,30,34,male,25003,8600000US25003
95,25,29,female,64747,8600000US64747
95,5,9,female,98392,8600000US98392
96,80,84,male,37083,8600000US37083
97,40,44,female,37144,8600000US37144
97,67,69,male,52349,8600000US52349
97,15,17,female,58329,8600000US58329
98,50,54,male,39063,8600000US39063
98,22,24,male,49082,8600000US49082
99,40,44,male,39746,8600000US39746
99,20,20,female,86305,8600000US86305
100,70,74,male,93265,8600000US93265
101,35,39,female,18038,8600000US18038
102,62,64,female,18054,8600000US18054
102,22,24,female,85616,8600000US85616
103,35,39,male,19555,8600000US19555
103,70,74,male,72576,8600000US72576
103,65,66,male,77031,8600000US77031
103,,,male,79517,8600000US79517
105,35,39,male,49650,8600000US49650
105,75,79,male,92313,8600000US92313
107,40,44,male,72940,8600000US72940
110,,,,19733,8600000US19733
110,50,54,male,59872,8600000US59872
111,85,,female,04083,8600000US04083
111,70,74,female,48453,8600000US48453
112,21,21,female,85013,8600000US85013
113,55,59,female,48417,8600000US48417
115,15,17,female,63117,8600000US63117
115,55,59,female,88346,8600000US88346
116,20,20,female,18505,8600000US18505
116,70,74,female,38672,8600000US38672
116,55,59,female,47305,8600000US47305
116,62,64,male,92004,8600000US92004
119,80,84,female,29456,8600000US29456
119,67,69,male,71409,8600000US71409
119,60,61,female,95446,8600000US95446
120,60,61,male,39577,8600000US39577
121,70,74,male,65240,8600000US65240
124,40,44,male,27508,8600000US27508
124,65,66,male,32011,8600000US32011
124,5,9,male,50072,8600000US50072
124,,,,71410,8600000US71410
125,70,74,female,35620,8600000US35620
125,75,79,female,56164,8600000US56164
126,5,9,male,26601,8600000US26601
127,25,29,male,48618,8600000US48618
127,70,74,male,52537,8600000US52537
128,20,20,male,77904,8600000US77904
129,21,21,female,43017,8600000US43017
130,10,14,female,37362,8600000US37362
130,22,24,female,46507,8600000US46507
130,15,17,male,54002,8600000US54002
132,67,69,male,68776,8600000US68776
132,,,male,74534,8600000US74534
133,62,64,female,06612,8600000US06612
133,67,69,female,14905,8600000US14905
133,5,9,female,38855,8600000US38855
133,50,54,male,61559,8600000US61559
135,80,84,male,11703,8600000US11703
139,60,61,female,34117,8600000US34117
139,62,64,female,82201,8600000US82201
140,75,79,male,19044,8600000US19044
141,67,69,female,35660,8600000US35660
141,10,14,female,49946,8600000US49946
142,67,69,female,36530,8600000US36530
143,20,20,male,61822,8600000US61822
144,50,54,male,43570,8600000US43570
144,50,54,male,99556,8600000US99556
147,50,54,male,62694,8600000US62694
148,65,66,male,12054,8600000US12054
149,75,79,female,48623,8600000US48623
